Calor Transferido(Q) ;Energia Luminosa Obtida:;Energia Elétrica(J) 
1912,720396;318,3835965;1594,3368
2390,900495;797,7731045;3188,6736
2869,080595;1913,929805;4783,0104
3825,440793;2551,906407;6377,3472
4781,80099;3189,88301;7971,684
5259,98109;4306,03971;9566,0208
5738,16119;5422,19641;11160,3576
7650,881585;5103,812815;12754,6944
10519,96218;3829,06902;14349,0312
12432,68258;3510,685425;15943,368
14345,40297;3192,301825;17537,7048
15301,76317;3830,27843;19132,0416
18170,84377;2555,534635;20726,3784
21039,92436;1280,79084;22320,7152
;;
0,073655336;2105,163333;
0,062542257;849,0291893;
0,103604744;1503,987818;
1,386951701;12;
3137256,117;27143752,28;
