Arquivo;Caminho;Tempo de Execução
test1.in;.//TDec10;        0.19 real         0.00 user         0.01 sys
test10.in;.//TDec10;        0.01 real         0.00 user         0.00 sys
test2.in;.//TDec10;        0.01 real         0.00 user         0.00 sys
test3.in;.//TDec10;        0.01 real         0.00 user         0.00 sys
test4.in;.//TDec10;        0.01 real         0.00 user         0.00 sys
test5.in;.//TDec10;        0.01 real         0.00 user         0.00 sys
test6.in;.//TDec10;        0.02 real         0.00 user         0.00 sys
test7.in;.//TDec10;        0.01 real         0.00 user         0.00 sys
test8.in;.//TDec10;        0.01 real         0.00 user         0.00 sys
test9.in;.//TDec10;        0.01 real         0.00 user         0.00 sys
test1.in;.//TDec100;        0.01 real         0.00 user         0.00 sys
test10.in;.//TDec100;        0.01 real         0.00 user         0.00 sys
test2.in;.//TDec100;        0.01 real         0.00 user         0.00 sys
test3.in;.//TDec100;        0.01 real         0.00 user         0.00 sys
test4.in;.//TDec100;        0.03 real         0.00 user         0.00 sys
test5.in;.//TDec100;        0.02 real         0.00 user         0.00 sys
test6.in;.//TDec100;        0.01 real         0.00 user         0.00 sys
test7.in;.//TDec100;        0.01 real         0.00 user         0.00 sys
test8.in;.//TDec100;        0.01 real         0.00 user         0.00 sys
test9.in;.//TDec100;        0.01 real         0.00 user         0.00 sys
test1.in;.//TDec1000;        0.01 real         0.00 user         0.00 sys
test10.in;.//TDec1000;        0.02 real         0.00 user         0.00 sys
test2.in;.//TDec1000;        0.01 real         0.00 user         0.00 sys
test3.in;.//TDec1000;        0.01 real         0.00 user         0.00 sys
test4.in;.//TDec1000;        0.01 real         0.00 user         0.00 sys
test5.in;.//TDec1000;        0.01 real         0.00 user         0.00 sys
test6.in;.//TDec1000;        0.01 real         0.00 user         0.00 sys
test7.in;.//TDec1000;        0.01 real         0.00 user         0.00 sys
test8.in;.//TDec1000;        0.01 real         0.00 user         0.00 sys
test9.in;.//TDec1000;        0.01 real         0.00 user         0.00 sys
test1.in;.//TDec10000;        0.02 real         0.00 user         0.00 sys
test10.in;.//TDec10000;        0.01 real         0.00 user         0.00 sys
test2.in;.//TDec10000;        0.01 real         0.00 user         0.00 sys
test3.in;.//TDec10000;        0.01 real         0.00 user         0.00 sys
test4.in;.//TDec10000;        0.01 real         0.00 user         0.00 sys
test5.in;.//TDec10000;        0.01 real         0.00 user         0.00 sys
test6.in;.//TDec10000;        0.01 real         0.00 user         0.00 sys
test7.in;.//TDec10000;        0.01 real         0.00 user         0.00 sys
test8.in;.//TDec10000;        0.01 real         0.00 user         0.00 sys
test9.in;.//TDec10000;        0.02 real         0.00 user         0.00 sys
